,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
sly-miR7997a,0.062,-0.885,-0.002,0.111,0.006,0.222,0.037,0.323,-0.126,-0.796,-0.099,0.13,0.085,0.001,0.136,0.055,-2.638,0.008,0.043,0.011,0.111,-0.116,-0.039,-8.942,-0.004,0.0,-0.003,-0.02,-0.127,-1.076,-0.177,-0.735,0.052,-0.049,-1.291,-0.02,-0.092,-0.098,-9.204,-0.003,-0.07,-0.011,-0.059,-1.476,-0.042,6.524,0.005,0.0,-0.008,-0.104,-0.063,-0.433,0.113,-1.465,0.794,0.0,1.523,-0.003,-0.007,0.233,12.17,-0.014,0.181,0.012,0.184,2.454
cko_miR2119,0.213,-1.401,0.001,0.047,0.002,0.141,0.105,-0.806,0.065,-0.186,0.091,0.094,0.374,0.001,0.211,0.158,6.999,0.005,0.118,0.01,0.102,1.523,-0.076,1.536,0.001,0.0,0.0,0.012,-0.111,-0.838,-0.03,-1.193,-2.222,-0.012,0.538,0.001,0.111,0.038,10.752,-0.002,0.057,0.004,0.0,1.63,-0.071,-2.168,0.0,0.0,-0.002,0.015,0.059,-0.808,-0.025,-1.966,-1.914,-0.071,-0.338,0.001,0.059,-0.004,3.55,-0.005,-0.004,0.005,0.0,0.458
osa-miR12472,0.238,6.104,0.002,0.047,0.001,0.108,0.147,0.25,-0.13,-0.266,0.64,0.091,1.659,-0.002,0.274,0.281,2.203,0.003,0.226,0.01,0.233,1.356,-0.146,2.075,-0.003,0.0,-0.002,-0.032,-0.012,-0.009,-0.141,-2.032,-0.891,-0.07,0.47,-0.001,0.067,0.012,-2.694,-0.003,0.032,0.003,0.003,-0.291,-0.232,6.743,-0.002,0.0,-0.001,-0.05,-0.071,0.833,-0.009,-1.065,-0.475,-0.074,0.969,0.003,0.012,0.021,3.619,-0.003,0.017,0.018,-0.056,0.715
pla-miR95,0.091,-11.593,0.0,0.075,0.0,0.127,0.26,-1.106,0.062,-1.014,1.25,0.042,-1.241,-0.003,0.418,0.14,-0.634,0.0,0.088,0.001,0.194,0.286,0.015,-20.983,-0.005,-0.012,-0.003,-0.073,0.053,1.171,-0.014,-5.342,-2.031,-0.123,-3.756,0.004,0.164,-0.179,-15.624,-0.006,-0.223,0.009,-0.067,-2.757,0.046,2.593,0.002,0.105,0.0,-0.046,0.115,1.843,0.01,-2.406,-2.256,-0.012,0.183,-0.002,0.04,-0.037,-5.88,0.0,-0.028,0.016,-0.006,-0.965
sit-miRn29,0.248,2.497,0.004,0.157,0.007,0.219,0.314,-1.042,-0.032,-0.368,0.006,0.302,1.174,0.001,0.112,0.307,10.39,0.01,0.21,0.014,0.231,2.451,-0.026,4.723,0.0,-0.039,-0.003,-0.199,0.043,0.068,0.024,-2.788,-0.984,-0.065,0.686,-0.002,-0.074,0.035,-2.908,-0.003,0.017,0.005,-0.013,-0.095,-0.155,-8.962,-0.002,-0.073,-0.004,-0.264,-0.005,0.151,-0.266,-3.023,-1.487,-0.068,-1.075,-0.027,0.073,-0.006,-11.54,-0.005,0.008,-0.012,0.027,-1.397
nta-novel-miR24,0.167,-17.905,-0.001,0.136,0.006,0.241,0.13,-0.435,-0.064,-1.864,-0.63,0.037,-2.641,-0.001,0.117,-0.024,-4.898,0.01,-0.089,0.002,0.056,-0.742,0.0,-14.39,0.001,-0.026,-0.002,-0.039,0.078,-1.842,-0.052,0.542,-0.273,-0.02,-2.175,0.031,-0.111,-0.052,-0.852,-0.001,-0.064,-0.005,-0.02,-0.285,0.031,-3.854,-0.001,0.069,0.0,0.038,-0.042,1.397,0.027,-4.66,-3.2,-0.021,-0.377,0.043,0.007,0.082,0.115,0.001,0.088,0.021,0.063,0.248
nnu-miR39,0.17,-10.955,0.0,0.32,0.005,0.202,0.127,-2.219,0.094,-0.452,-0.43,0.02,-0.939,0.0,0.12,0.186,4.263,0.009,0.137,0.009,0.228,1.117,0.074,3.317,-0.003,-0.021,0.0,-0.05,-0.129,-0.594,0.006,7.071,-1.985,-0.084,0.499,-0.005,-0.137,-0.001,4.4,0.001,0.032,-0.024,-0.061,0.534,0.078,11.989,-0.003,-0.211,-0.002,-0.056,-0.144,-1.822,0.096,6.25,0.461,0.078,1.541,-0.02,-0.058,0.023,-3.482,-0.004,0.035,-0.054,0.008,-0.675
mmu-miR-novel-19*,0.042,-16.524,-0.004,0.224,0.002,0.127,-0.03,-0.603,-0.135,-0.906,-0.746,0.061,-1.781,-0.001,-0.03,0.066,-2.297,0.005,0.036,0.007,0.089,-0.072,-0.067,0.68,0.001,-0.012,-0.005,-0.24,-0.108,0.345,-0.028,-2.52,0.502,-0.047,0.214,0.01,-0.108,0.021,-0.921,-0.01,0.002,0.013,0.056,-0.012,0.084,24.0,0.002,0.164,0.001,-0.046,0.099,0.172,0.108,0.824,-0.501,-0.05,3.687,0.004,0.04,0.238,12.594,0.002,0.22,0.016,0.245,2.514
sly-miN526,0.24,-9.595,-0.001,0.145,0.009,0.235,0.06,-0.166,0.06,-0.402,0.213,0.048,-0.92,0.001,0.075,0.147,5.73,0.015,0.075,0.011,0.148,1.284,-0.011,-1.495,0.0,-0.074,0.001,-0.129,-0.011,0.376,0.035,2.058,0.262,-0.108,-0.856,-0.007,-0.066,-0.108,0.814,0.002,-0.126,0.002,-0.113,-0.133,-0.033,2.217,-0.002,-0.022,-0.002,-0.153,-0.033,-1.247,-0.068,3.361,0.307,-0.058,0.452,0.021,-0.056,-0.011,4.34,-0.001,0.029,-0.002,-0.067,0.5
sit-miR168,0.11,-12.112,-0.001,0.125,0.004,0.19,0.195,-0.361,-0.038,-1.402,0.556,0.12,-1.596,0.001,0.16,0.019,-2.885,0.006,-0.024,0.006,0.075,-0.414,0.011,4.839,-0.004,-0.108,-0.002,-0.163,0.053,2.244,0.036,-1.258,0.033,-0.084,0.212,0.006,-0.158,-0.146,-2.872,0.0,-0.118,0.016,-0.158,-0.774,-0.044,-15.174,-0.003,-0.144,0.0,-0.222,-0.05,0.06,-0.075,-2.008,0.191,0.022,-1.56,-0.013,-0.178,0.059,-1.436,0.002,0.036,0.003,-0.028,0.199
novel_cma-miR29,0.056,-0.399,0.007,0.13,0.011,0.296,0.043,-2.593,0.107,-0.639,-0.221,0.265,0.56,0.002,0.056,0.196,7.217,0.013,0.14,0.005,0.148,1.692,-0.059,5.368,0.002,0.039,0.002,0.137,-0.065,2.034,0.129,0.147,0.484,0.098,1.222,0.02,0.0,0.207,15.895,0.001,0.129,0.031,0.078,2.873,0.0,18.055,-0.003,0.0,-0.005,0.146,0.0,-0.082,0.078,0.49,1.277,-0.028,3.056,0.039,0.125,0.287,28.531,-0.005,0.207,0.04,0.125,4.902
pla-mir3,0.075,-7.888,0.0,0.042,0.0,0.089,0.127,-1.284,0.093,-0.116,-0.595,0.061,-0.429,-0.002,0.277,0.174,1.056,0.0,0.161,0.003,0.186,0.621,0.003,16.418,0.002,-0.123,-0.003,-0.111,-0.219,0.69,0.069,-3.389,-0.897,-0.047,2.878,-0.002,0.044,0.272,3.772,-0.003,0.22,0.014,0.205,1.578,-0.019,11.575,0.0,-0.034,-0.003,-0.108,-0.056,0.707,-0.014,-1.635,-1.149,-0.05,2.42,0.031,-0.012,0.258,11.704,-0.003,0.233,0.029,0.167,2.553
sja-miR1026a,0.019,-37.443,-0.001,0.049,0.0,0.062,-0.062,-0.329,-0.092,-0.429,-0.102,0.037,-4.546,0.0,0.056,-0.013,-4.087,0.001,-0.052,-0.005,-0.003,-0.544,-0.052,24.531,0.001,-0.007,0.0,0.039,0.039,1.308,0.058,-0.84,-0.181,-0.02,2.774,0.011,-0.059,-0.052,2.289,-0.001,-0.019,0.014,-0.059,0.197,-0.069,-36.211,-0.003,-0.007,-0.001,0.014,-0.083,2.44,-0.066,-2.538,-0.357,-0.021,-4.653,-0.004,0.0,-0.03,-6.435,-0.001,-0.096,0.001,0.003,-0.971
sja-novel-mir5,0.075,-6.307,0.0,0.119,-0.001,0.05,0.114,-0.755,-0.026,-0.568,-0.927,0.036,-0.405,-0.001,0.161,0.139,-2.185,-0.001,0.094,0.007,0.199,0.094,-0.164,-11.656,-0.003,0.015,-0.003,-0.14,-0.114,1.465,-0.083,-1.98,0.725,-0.018,-1.362,-0.002,-0.184,-0.007,-2.7,-0.005,-0.008,0.001,-0.006,-0.366,-0.077,10.387,-0.001,0.015,0.0,-0.015,-0.133,-0.733,0.044,-0.824,0.171,0.056,1.565,0.033,-0.195,0.036,7.591,0.0,0.052,0.005,-0.006,1.151
osa-miRNovel40,0.043,-4.097,0.003,0.025,0.003,0.164,0.074,-2.7,-0.094,-1.062,1.08,0.028,-0.418,0.001,0.108,0.032,-2.708,0.005,-0.004,0.001,-0.04,-0.265,-0.013,5.691,0.004,-0.065,0.0,0.059,-0.023,-1.578,-0.089,-0.951,0.121,-0.029,0.993,0.035,-0.065,0.042,4.181,0.002,0.04,0.006,-0.056,0.752,-0.007,14.082,0.007,0.083,0.004,0.128,-0.024,5.096,0.117,0.41,-0.746,0.094,2.25,0.04,-0.007,0.109,8.704,0.005,0.108,0.045,0.153,1.521
cko_miR530,0.042,6.389,0.003,0.127,0.005,0.075,0.252,-2.153,0.071,-0.717,0.155,0.352,1.381,-0.001,0.075,0.264,10.028,0.004,0.152,0.003,0.205,2.255,-0.123,-2.136,-0.001,0.003,-0.008,-0.053,-0.129,1.715,-0.048,1.444,0.348,-0.129,0.007,0.002,-0.07,0.1,12.949,-0.008,0.053,0.013,0.044,2.115,-0.111,9.438,-0.002,0.04,-0.015,-0.077,-0.372,-0.508,0.048,2.498,-0.026,-0.43,2.202,0.001,-0.074,0.269,23.166,-0.016,0.232,0.024,0.102,4.11
novel_cma-miR142,0.15,-13.06,0.001,0.05,0.0,0.02,0.147,-2.847,-0.065,-0.93,0.245,0.14,-1.463,-0.001,0.145,0.095,-0.283,0.001,0.057,0.0,0.14,0.245,-0.053,19.911,-0.006,-0.042,-0.001,-0.074,0.158,0.612,-0.136,-2.492,-0.891,-0.011,2.616,-0.005,-0.021,0.004,-4.004,-0.001,0.015,0.003,-0.074,-0.327,-0.111,-6.402,0.0,-0.033,0.002,0.1,-0.053,0.433,-0.017,-2.917,-2.119,-0.067,-0.641,-0.013,-0.094,0.005,10.718,0.003,-0.008,0.004,-0.089,1.682
pfo-miR5021a,0.155,-10.335,-0.001,0.0,0.001,0.036,0.066,0.033,-0.085,-0.175,-0.124,0.036,-1.123,-0.001,0.022,0.044,-1.315,0.002,0.012,0.0,0.022,-0.014,-0.114,-10.905,-0.001,0.0,0.0,-0.035,-0.094,0.754,-0.085,0.041,0.233,-0.018,-1.435,0.012,-0.073,-0.047,-0.027,0.0,-0.057,0.009,-0.073,-0.141,-0.05,41.701,0.003,0.0,0.0,-0.056,0.167,0.733,0.335,0.929,0.257,-0.019,6.388,0.032,0.195,0.374,35.79,0.0,0.321,0.043,0.195,6.117
novel_cma-miR74,0.15,-11.956,0.005,0.09,0.004,0.19,0.127,-1.873,-0.099,-0.953,0.023,0.06,-1.676,0.0,0.09,0.015,-3.748,0.007,-0.053,-0.001,0.01,-0.475,0.0,3.911,0.004,-0.063,0.001,0.189,-0.197,2.479,0.028,2.608,-0.472,0.011,0.29,-0.012,-0.074,-0.052,0.019,0.001,-0.056,0.002,-0.063,-0.2,0.083,2.669,0.0,-0.067,0.0,0.189,-0.106,-0.835,-0.055,-4.936,-2.133,0.067,0.227,-0.005,-0.083,-0.036,-7.438,0.0,-0.033,0.006,0.061,-1.115
144454_x98,0.06,4.318,0.0,0.16,0.009,0.335,-0.03,0.403,-0.001,0.07,-0.556,0.195,1.346,0.001,0.245,0.276,12.557,0.01,0.201,0.012,0.185,2.609,-0.042,-10.965,0.001,0.011,-0.007,-0.242,-0.095,-2.112,-0.201,0.842,-1.094,-0.321,-2.312,0.022,-0.253,-0.321,-11.514,-0.004,-0.234,-0.014,-0.242,-2.516,-0.033,-2.509,-0.004,-0.044,-0.015,-0.439,0.033,-1.248,-0.102,1.533,-0.214,-0.394,-1.049,0.032,-0.397,-0.212,-6.931,-0.014,-0.164,0.004,-0.153,-1.679
pla-miR59,0.116,-7.039,0.004,0.066,0.008,0.291,0.125,-3.28,-0.054,-0.504,-0.629,0.147,-0.75,-0.002,0.213,0.045,-1.779,0.009,0.022,-0.007,0.042,-0.074,0.012,-12.159,0.002,-0.096,0.003,0.102,-0.108,5.189,0.008,-1.766,0.398,-0.067,-2.179,0.007,0.018,-0.106,-5.277,0.005,-0.135,0.016,-0.111,-1.084,0.012,8.093,0.001,-0.015,-0.001,-0.059,0.111,-1.519,-0.023,0.124,-0.108,-0.071,1.16,0.033,-0.003,-0.015,3.687,0.001,0.015,0.014,-0.046,0.536
sja-novel-mir59,0.05,-5.172,0.006,0.066,0.004,0.089,0.019,-3.739,-0.036,-0.914,-0.741,0.102,-0.351,-0.001,0.119,0.171,3.055,0.003,0.102,0.0,0.158,0.99,-0.003,-9.656,-0.003,-0.152,-0.002,-0.047,-0.123,2.478,0.049,-1.105,0.398,-0.17,-1.854,-0.023,-0.149,-0.228,-13.526,-0.003,-0.198,-0.016,-0.278,-2.572,0.056,-2.153,0.001,-0.133,-0.001,-0.065,0.059,-2.827,-0.033,-5.715,-0.388,-0.121,-0.877,-0.026,-0.068,-0.174,-21.327,0.0,-0.154,-0.014,-0.118,-3.18
pfo-miR5239a,0.313,-13.816,0.002,0.0,0.002,0.089,0.155,0.342,0.174,-0.116,0.462,0.089,-0.92,0.001,0.219,0.267,10.55,0.005,0.179,0.009,0.219,2.32,0.108,25.511,0.002,0.0,0.0,0.064,0.079,1.023,-0.119,0.605,-0.528,-0.018,3.227,0.031,0.041,0.035,0.242,-0.001,0.063,0.009,0.041,0.117,-0.003,-14.201,-0.003,0.0,-0.002,0.096,-0.241,1.787,-0.279,-0.941,-0.387,-0.077,-1.973,0.036,-0.04,-0.096,-11.455,-0.005,-0.083,0.007,-0.04,-1.929
pas-miR403a,0.194,-6.424,0.004,0.161,0.006,0.211,0.161,-1.885,0.02,-1.427,0.042,0.194,-0.469,0.001,0.05,0.144,2.487,0.01,0.085,0.003,0.188,0.811,-0.032,-3.751,-0.001,0.058,-0.007,-0.114,-0.073,0.878,-0.213,-0.295,0.027,-0.102,-0.779,-0.025,-0.058,-0.101,-10.997,-0.009,-0.05,-0.023,-0.023,-1.82,-0.05,3.754,0.005,0.003,-0.011,-0.186,-0.077,-3.276,-0.267,0.749,0.631,-0.108,0.367,-0.039,-0.05,-0.087,-15.648,-0.018,-0.045,-0.02,0.022,-2.354
ttu-miR1120a,0.302,-5.707,0.004,0.191,0.013,0.368,0.011,-1.918,-0.108,-0.277,0.014,0.078,-0.128,-0.001,0.061,0.213,3.066,0.021,0.178,0.006,0.285,1.277,0.263,-16.562,0.002,0.058,0.01,0.167,-0.108,0.261,-0.098,-1.061,0.563,-0.047,-1.996,-0.02,-0.047,0.039,-7.42,0.017,0.031,-0.008,0.114,-0.903,0.279,-0.558,0.001,0.111,0.008,0.0,0.121,-0.544,0.085,2.238,0.728,0.009,0.048,-0.027,-0.05,0.063,-3.466,0.017,0.058,-0.014,0.077,-0.233
Iba-miR166a-3p_L+1-stu,0.06,4.484,-0.001,0.212,0.01,0.36,0.18,0.122,-0.181,-0.425,-0.099,0.253,1.319,-0.002,0.24,0.219,-1.039,0.011,0.188,0.006,0.213,0.563,-0.042,-16.143,-0.002,-0.211,-0.003,-0.042,-0.079,-0.871,0.025,-1.184,1.931,-0.074,-2.919,-0.006,-0.063,-0.241,-9.176,-0.005,-0.211,-0.016,-0.189,-2.167,0.011,-9.394,0.004,-0.236,-0.009,-0.172,0.078,-1.326,-0.026,-1.778,4.485,-0.022,-2.416,-0.02,-0.156,-0.34,-16.427,-0.013,-0.265,-0.043,-0.183,-3.541
sit-NR394-5p,0.062,7.467,0.0,0.176,0.005,0.136,0.157,-1.338,-0.149,-0.204,-0.635,0.17,1.478,0.001,0.167,0.139,1.341,0.007,0.122,0.001,0.102,0.689,-0.052,-13.118,-0.003,-0.049,-0.006,-0.059,-0.013,-0.569,-0.021,-0.529,-0.097,-0.072,-2.35,-0.03,-0.039,-0.187,-10.294,-0.008,-0.189,-0.022,-0.124,-1.962,-0.056,-0.365,0.002,0.135,-0.007,0.007,0.042,-1.345,0.091,2.333,0.088,-0.139,-0.337,-0.039,-0.063,-0.115,-11.276,-0.01,-0.102,-0.008,-0.062,-1.893
Iba-miR3627-5p_1ss16CA-vvi,0.14,-12.618,0.001,0.16,0.005,0.29,0.0,-1.775,-0.098,-1.19,-0.123,0.15,-1.402,0.002,0.06,0.043,-2.56,0.009,0.009,-0.001,0.07,-0.186,-0.011,-2.107,0.002,0.063,0.005,0.274,-0.063,2.308,0.007,-1.337,0.178,0.118,-0.758,0.002,-0.105,-0.096,-2.194,0.009,-0.111,0.003,-0.076,-0.642,0.044,-4.745,-0.002,-0.044,0.007,0.311,0.133,1.282,-0.098,0.133,-0.515,0.083,-0.559,0.032,0.1,-0.011,-3.313,0.009,-0.004,0.012,-0.017,-0.44
novel_cma-miR80,0.338,-2.511,0.008,0.086,0.007,0.316,0.199,-1.915,0.171,-2.269,0.733,0.252,0.611,0.001,0.299,0.382,14.17,0.01,0.275,0.007,0.399,3.2,0.079,-4.379,0.003,0.035,-0.001,-0.056,-0.079,0.14,0.08,-0.526,2.141,0.053,-0.797,-0.011,0.038,0.01,-2.229,0.0,0.001,-0.009,0.088,-0.33,-0.056,-5.184,0.003,0.096,0.001,-0.235,-0.031,-3.255,0.131,0.365,2.717,-0.028,-1.35,-0.021,-0.136,-0.108,-6.503,0.004,-0.103,-0.029,-0.025,-1.324
pas-miR482,0.12,4.753,-0.002,0.15,0.006,0.12,0.27,-0.123,-0.129,-0.225,-0.155,0.27,1.253,0.001,0.0,0.204,4.099,0.008,0.148,0.01,0.15,1.272,-0.137,-0.002,0.001,-0.263,-0.008,-0.137,-0.074,-0.836,0.025,2.474,-1.26,-0.074,-0.846,-0.012,0.0,-0.331,-9.638,-0.015,-0.241,-0.02,-0.263,-2.414,-0.144,-6.919,0.0,-0.222,-0.011,-0.144,-0.1,-1.158,-0.131,1.944,0.995,-0.1,-1.876,-0.024,0.0,-0.354,-15.173,-0.019,-0.245,-0.036,-0.222,-3.258
osa-miRNovel50,0.06,-0.552,-0.001,0.09,0.01,0.342,0.093,1.043,0.076,-0.45,0.217,0.212,0.619,-0.001,0.225,0.146,4.601,0.011,0.13,0.011,0.145,1.091,-0.042,-12.644,-0.001,-0.063,0.001,-0.061,0.008,-1.616,-0.103,-0.908,-2.026,-0.066,-1.605,0.0,-0.026,0.005,5.082,-0.001,-0.016,0.005,0.047,0.704,0.067,7.347,0.001,-0.1,0.002,-0.008,0.072,-0.274,0.104,0.653,-1.877,0.083,1.04,-0.003,-0.083,0.094,15.952,0.0,0.059,0.02,0.044,2.498
pas-miR159,0.116,-6.607,-0.001,0.114,0.012,0.493,0.089,0.998,-0.053,-0.67,0.287,0.319,-0.226,0.001,0.247,0.203,5.411,0.016,0.133,0.01,0.155,1.391,-0.155,3.547,-0.001,0.064,-0.002,0.132,-0.111,-1.341,-0.212,2.886,-0.239,-0.038,0.032,-0.007,-0.073,-0.208,-4.21,-0.003,-0.121,-0.013,-0.17,-1.161,-0.105,-12.604,-0.001,0.009,-0.011,-0.028,-0.05,-1.65,0.121,1.331,-0.853,-0.18,-1.836,-0.03,-0.034,-0.115,-9.14,-0.015,-0.078,-0.026,-0.065,-1.583
osa-miR1876,0.157,8.125,0.0,0.293,0.007,0.269,0.198,-0.186,0.065,-0.072,-0.538,0.196,2.215,-0.001,0.264,0.386,13.857,0.009,0.314,0.008,0.302,3.155,0.039,-8.218,-0.004,0.069,-0.004,-0.091,0.16,-1.652,-0.111,-0.506,0.913,-0.032,-1.432,-0.012,-0.104,-0.072,-5.364,-0.005,-0.067,-0.022,-0.017,-1.0,0.0,-23.759,-0.002,-0.027,-0.007,-0.036,0.168,-2.789,-0.099,-1.423,2.866,-0.034,-4.397,-0.028,-0.114,-0.309,-15.567,-0.01,-0.288,-0.044,-0.157,-3.238
osa-miR1429-5p,0.18,-2.321,0.004,0.116,0.002,0.047,-0.044,-2.577,-0.029,-0.518,-0.365,-0.03,0.36,0.001,0.114,0.255,6.122,0.004,0.19,0.01,0.305,1.711,-0.006,5.625,0.003,-0.099,-0.002,-0.123,-0.102,1.472,-0.065,-1.52,-0.441,-0.143,1.01,-0.001,0.064,0.089,2.971,-0.002,0.086,0.01,0.099,0.92,0.037,6.494,0.0,-0.105,-0.001,-0.074,0.056,-1.187,-0.095,-2.372,0.318,0.062,1.124,0.027,0.009,0.092,-0.038,-0.001,0.113,0.001,0.105,0.539
gso-miR1509a,0.25,1.079,0.005,0.12,0.002,0.188,0.138,-1.27,0.047,-1.17,-0.064,0.045,0.733,-0.001,0.225,0.242,6.302,0.005,0.187,0.007,0.292,1.629,-0.074,-6.845,0.005,-0.032,-0.003,-0.039,-0.171,-4.591,-0.264,6.779,-0.826,-0.058,-1.107,-0.01,-0.079,-0.104,-7.479,-0.006,-0.046,-0.047,-0.061,-1.373,0.133,-8.152,0.0,-0.089,-0.001,0.083,-0.139,0.755,-0.284,5.633,-1.595,-0.042,-1.562,-0.029,-0.083,-0.129,-15.872,-0.001,-0.103,-0.039,-0.008,-2.683
ppe-miR172,0.022,-12.794,0.003,0.064,0.002,0.158,0.022,-1.869,0.017,-1.413,-0.081,0.116,-1.631,-0.003,0.075,0.014,-3.53,0.002,-0.004,-0.009,0.083,-0.468,-0.102,-12.972,-0.001,-0.044,-0.005,-0.056,-0.088,-1.721,-0.093,8.442,-0.581,-0.099,-2.642,-0.015,-0.073,-0.258,-8.676,-0.008,-0.228,-0.043,-0.202,-2.153,0.127,22.083,0.001,0.043,0.0,-0.118,-0.115,1.163,-0.049,7.257,-0.18,-0.105,3.126,-0.007,-0.062,0.099,3.422,0.002,0.101,-0.015,0.056,0.639
gma-MIR5374-p3,0.161,1.476,0.001,0.058,0.007,0.211,-0.006,-0.457,-0.141,-0.102,0.117,0.094,0.718,-0.002,0.139,0.161,0.84,0.011,0.132,0.001,0.141,0.736,-0.073,-0.152,0.001,-0.05,-0.003,-0.164,-0.123,0.647,0.233,-2.784,-0.604,-0.088,0.018,-0.002,-0.132,0.077,3.269,-0.003,0.024,0.009,0.038,0.881,-0.217,4.816,-0.001,0.065,-0.008,-0.347,0.04,1.192,-0.032,-1.17,-0.574,-0.173,0.962,0.022,-0.139,0.108,13.993,-0.01,0.064,0.033,-0.019,2.489
nta-miR6145b,-0.03,-0.401,0.004,0.108,-0.002,-0.003,-0.011,-3.168,-0.027,-0.925,-0.793,0.064,0.537,-0.002,0.058,0.142,0.604,-0.003,0.118,-0.005,0.152,0.558,-0.108,-11.987,-0.003,-0.219,-0.005,-0.061,-0.085,1.132,0.064,-0.348,3.425,-0.073,-2.584,-0.013,-0.05,-0.3,-16.461,-0.01,-0.28,-0.025,-0.284,-3.427,0.121,-23.863,-0.006,-0.198,-0.001,0.053,0.127,0.718,-0.095,-6.981,0.738,0.009,-4.694,-0.008,0.006,-0.337,-27.772,-0.002,-0.323,-0.018,-0.189,-5.136
sly-PC-46-5p,0.108,-3.907,0.0,0.274,0.004,0.211,0.166,-2.751,-0.065,-0.097,0.544,0.091,-0.119,-0.001,0.191,0.141,-0.87,0.006,0.094,0.003,0.141,0.318,-0.184,3.823,-0.001,0.012,-0.001,-0.053,-0.114,2.752,-0.117,-2.044,-1.71,-0.096,0.332,0.002,-0.02,-0.041,-3.341,-0.002,-0.06,0.008,-0.073,-0.442,-0.254,21.961,0.003,-0.139,-0.004,-0.232,-0.31,-0.448,0.109,-0.972,-0.673,-0.071,3.798,0.01,-0.139,0.259,15.647,-0.006,0.209,0.038,0.09,3.24
rgl-miR5142,0.073,-21.189,0.001,0.0,0.001,0.038,-0.003,-0.968,0.016,0.062,0.003,0.028,-2.546,-0.003,0.073,0.022,2.636,0.001,-0.001,-0.004,0.045,0.458,-0.191,13.766,-0.003,0.0,-0.007,-0.261,-0.063,0.016,-0.124,-2.794,-0.835,-0.232,1.548,-0.002,-0.11,-0.059,-7.542,-0.01,-0.024,0.004,-0.077,-0.913,-0.071,-27.496,-0.002,0.0,0.003,0.055,0.008,0.231,-0.251,-3.333,-0.628,0.129,-3.735,-0.035,-0.118,-0.102,-17.212,0.006,-0.123,-0.019,-0.082,-2.485
gma-miR4411,0.2,3.024,0.001,0.06,0.002,0.04,0.11,-1.488,-0.13,-0.36,-0.321,0.14,1.031,0.002,0.14,0.224,3.638,0.003,0.178,0.016,0.24,1.273,-0.079,-3.57,0.002,-0.042,-0.006,-0.226,-0.084,0.474,-0.14,-1.211,0.063,-0.068,-0.518,-0.002,-0.063,-0.046,-9.327,-0.009,-0.043,0.007,-0.011,-1.371,-0.028,-13.201,-0.001,-0.044,-0.001,-0.072,-0.067,0.495,0.055,-2.311,3.013,0.028,-2.301,-0.019,-0.011,-0.186,-12.008,-0.002,-0.134,-0.026,-0.067,-2.374
ptc-miR1450,0.17,0.001,-0.003,0.098,0.002,0.1,0.25,-1.479,-0.006,-0.525,-0.681,0.075,0.394,-0.002,0.24,0.19,4.181,0.005,0.148,0.007,0.198,1.218,-0.063,-9.146,-0.002,-0.084,-0.007,-0.316,-0.105,0.245,-0.181,-0.737,-0.035,-0.237,-1.765,0.003,-0.221,-0.129,-3.743,-0.007,-0.132,0.005,-0.105,-0.814,-0.133,-9.88,0.002,-0.089,-0.003,-0.167,-0.333,1.753,0.015,-2.361,-1.304,-0.139,-1.496,0.003,-0.289,-0.074,7.32,-0.001,-0.089,0.017,-0.056,0.75
esa-miRn12,0.273,2.378,0.001,0.169,0.009,0.31,0.066,-0.832,0.189,-0.432,0.198,0.095,0.91,0.001,0.037,0.235,11.503,0.015,0.171,0.005,0.186,2.404,-0.048,-10.834,-0.002,-0.08,0.002,-0.004,0.022,1.982,-0.003,-0.476,0.467,0.004,-2.133,-0.001,-0.009,-0.188,-8.936,0.003,-0.185,0.002,-0.106,-1.823,-0.25,0.952,-0.001,-0.105,-0.002,-0.25,-0.027,0.205,-0.183,-0.2,0.977,-0.045,-0.222,0.005,-0.009,-0.135,-6.143,-0.004,-0.112,0.005,-0.127,-1.284
